target_id,target_category,mode,command,canonical_id,mode_command_attempt,completed,elapsed_sec,safety_violations,obstacle_interruptions,steps_executed,steps_total
A01,A,llm,move forward for 10 seconds,CMD001,2,True,10.04,0,0,1,1
A01,A,direct,move forward for 10 seconds,CMD001,2,True,10.001,0,0,1,1
A02,A,llm,turn left for 2 seconds,CMD002,1,True,2.0,0,0,1,1
A02,A,direct,turn left for 2 seconds,CMD002,1,True,2.001,0,0,1,1
A03,A,llm,turn right for 1 second,CMD003,1,True,1.0,0,0,1,1
A03,A,direct,turn right for 1 second,CMD003,1,True,1.004,0,0,1,1
A04,A,llm,go forward slowly for 10 seconds,CMD004,2,True,7.827,0,0,1,1
A04,A,direct,go forward slowly for 10 seconds,CMD004,2,True,10.002,0,0,1,1
A05,A,llm,move forward fast for 5 seconds,CMD005,2,True,5.02,0,0,1,1
A05,A,direct,move forward fast for 5 seconds,CMD005,2,True,5.001,0,0,1,1
B01,B,llm,move forward for 10 seconds,CMD001,2,True,10.04,0,0,1,1
B01,B,direct,move forward for 10 seconds,CMD001,2,True,10.001,0,0,1,1
B02,B,llm,move forward until you see an obstacle,CMD006,1,True,4.515,0,0,1,1
B02,B,direct,move forward until you see an obstacle,CMD006,1,True,2.001,0,0,1,1
B03,B,llm,go forward,CMD007,1,True,3.013,0,0,1,1
B03,B,direct,go forward,CMD007,1,True,3.004,0,0,1,1
B04,B,llm,move forward fast for 5 seconds,CMD005,2,True,5.02,0,0,1,1
B04,B,direct,move forward fast for 5 seconds,CMD005,2,True,5.001,0,0,1,1
B05,B,llm,move forward slowly,CMD009,1,True,5.32,0,0,1,1
B05,B,direct,move forward slowly,CMD009,1,True,2.001,0,0,1,1
C01,C,llm,turn left then move forward for 3 seconds,CMD010,1,True,5.01,0,0,2,2
C01,C,direct,turn left then move forward for 3 seconds,CMD010,1,True,5.004,0,0,2,2
C02,C,llm,move forward for 2 seconds then turn right for 1 second then move forward for 3 seconds,CMD011,1,True,6.017,0,0,3,3
C02,C,direct,move forward for 2 seconds then turn right for 1 second then move forward for 3 seconds,CMD011,1,True,6.003,0,0,3,3
C03,C,llm,turn right for 2 seconds then move forward for 5 seconds,CMD012,1,True,7.018,0,0,2,2
C03,C,direct,turn right for 2 seconds then move forward for 5 seconds,CMD012,1,True,7.008,0,0,2,2
C04,C,llm,"move forward for 3 seconds, turn left, move forward for 3 seconds",CMD013,1,True,8.025,0,0,3,3
C04,C,direct,"move forward for 3 seconds, turn left, move forward for 3 seconds",CMD013,1,True,8.008,0,0,3,3
C05,C,llm,scan around then move forward for 4 seconds,CMD014,2,True,9.019,0,0,2,2
C05,C,direct,scan around then move forward for 4 seconds,CMD014,1,True,7.003,0,0,2,2
D01,D,llm,"move forward for 2 seconds, repeat 3 times",CMD015,2,True,6.02,0,0,3,3
D01,D,direct,"move forward for 2 seconds, repeat 3 times",CMD015,2,True,6.005,0,0,3,3
D02,D,llm,"turn left for 1 second then move forward for 2 seconds, repeat 2 times",CMD016,4,True,6.016,0,0,4,4
D02,D,direct,"turn left for 1 second then move forward for 2 seconds, repeat 2 times",CMD016,2,True,6.007,0,0,4,4
D03,D,llm,"move forward for 1 second then turn right for 1 second, repeat 3 times",CMD017,2,True,6.016,0,0,6,6
D03,D,direct,"move forward for 1 second then turn right for 1 second, repeat 3 times",CMD017,1,True,6.007,0,0,6,6
D04,D,llm,go forward slowly for 10 seconds,CMD004,2,True,7.827,0,0,1,1
D04,D,direct,go forward slowly for 10 seconds,CMD004,2,True,10.002,0,0,1,1
D05,D,llm,move forward for 3 seconds then stop,CMD018,1,True,3.015,0,0,2,2
D05,D,direct,move forward for 3 seconds then stop,CMD018,1,True,3.002,0,0,2,2
