timestamp_utc,segment,mode,canonical_command,canonical_id,canonical_is_new,mode_command_attempt,command_index,command,completed,elapsed_sec,safety_violations,obstacle_interruptions,steps_executed,steps_total
2026-05-08T13:08:38.340960+00:00,1,llm,move forward for 3 seconds,CMD001,True,1,1,move forward for 3 seconds,True,3.013,0,0,1,1
2026-05-08T13:10:16.752611+00:00,2,direct,move forward for 3 seconds,CMD001,False,1,1,move forward for 3 seconds,True,3.005,0,0,1,1
2026-05-08T13:10:56.882422+00:00,3,llm,turn left for 2 seconds,CMD002,True,1,1,turn left for 2 seconds,True,2.0,0,0,1,1
2026-05-08T13:11:27.963390+00:00,4,direct,turn left for 2 seconds,CMD002,False,1,1,turn left for 2 seconds,True,2.001,0,0,1,1
2026-05-08T13:11:57.045356+00:00,5,llm,turn right for 1 second,CMD003,True,1,1,turn right for 1 second,True,1.0,0,0,1,1
2026-05-08T13:12:23.537793+00:00,6,direct,turn right for 1 second,CMD003,False,1,1,turn right for 1 second,True,1.004,0,0,1,1
2026-05-08T13:13:10.151981+00:00,7,llm,move forward slowly for 5 seconds,CMD004,True,1,1,move forward slowly for 5 seconds,True,5.017,0,0,1,1
2026-05-08T13:14:05.007706+00:00,8,direct,move forward slowly for 5 seconds,CMD004,False,1,1,move forward slowly for 5 seconds,True,5.003,0,0,1,1
2026-05-08T13:14:56.730641+00:00,9,llm,move forward fast for 2 seconds,CMD005,True,1,1,move forward fast for 2 seconds,True,2.007,0,0,1,1
2026-05-08T13:15:24.606396+00:00,10,direct,move forward fast for 2 seconds,CMD005,False,1,1,move forward fast for 2 seconds,True,2.001,0,0,1,1
2026-05-08T13:16:39.133445+00:00,11,llm,move forward for 3 seconds,CMD001,False,2,1,move forward for 10 seconds,True,10.04,0,0,1,1
2026-05-08T13:17:46.023100+00:00,12,direct,move forward for 3 seconds,CMD001,False,2,1,move forward for 10 seconds,True,10.001,0,0,1,1
2026-05-08T13:18:46.422784+00:00,13,llm,move forward until you see an obstacle,CMD006,True,1,1,move forward until you see an obstacle,True,4.515,0,0,1,1
2026-05-08T13:20:00.930381+00:00,14,direct,move forward until you see an obstacle,CMD006,False,1,1,move forward until you see an obstacle,True,2.001,0,0,1,1
2026-05-08T13:21:00.750433+00:00,15,llm,go forward,CMD007,True,1,1,go forward,True,3.013,0,0,1,1
2026-05-08T13:21:51.023140+00:00,16,direct,go forward,CMD007,False,1,1,go forward,True,3.004,0,0,1,1
2026-05-08T13:22:59.959073+00:00,17,llm,move forward fast for 2 seconds,CMD005,False,2,1,move forward fast for 5 seconds,True,5.02,0,0,1,1
